Station|Location|Timestamp|Condition|Celsius|hPa|RelHumidity
ADL|-34.92,138.62,48|2016-06-17T15:31:02Z|Humid|+13.8|1041.5|68
BNE|-27.48,153.04,8|2016-06-17T15:31:02Z|Cloudy|+16.1|1034.3|58
HBA|-42.89,147.33,50|2016-06-17T15:31:02Z|Cloudy|+17.2|1025.5|55
MEL|-37.83,144.98,7|2016-06-17T15:31:02Z|Cloudy|+16.9|1028.1|56
PER|-31.92,115.87,25|2016-06-17T15:31:02Z|Cloudy|+17.1|1029.1|54
CBR|-35.31,149.2,577|2016-06-17T21:50:55Z|Humid|+12.7|1051.5|78
KGI|-30.78,121.45,365|2016-06-17T21:50:55Z|Humid|+15.4|1043.7|68
SYD|-33.86,151.21,39|2016-06-17T21:50:55Z|Cloudy|+19.2|1029.2|55
ADL|-34.92,138.62,48|2016-06-18T03:35:20Z|Humid|+19.4|1041.9|67
BNE|-27.48,153.04,8|2016-06-18T03:35:20Z|Sunny|+23.7|1034.7|57
CBR|-35.31,149.2,577|2016-06-18T03:35:20Z|Humid|+15.8|1051.6|77
DRW|-12.42,130.89,30|2016-06-18T03:35:20Z|Sunny|+25.7|1039.2|55
MEL|-37.83,144.98,7|2016-06-18T03:35:20Z|Sunny|+23.4|1028.5|55
PER|-31.92,115.87,25|2016-06-18T03:35:20Z|Sunny|+24.5|1029.5|53
PHE|-20.37,118.63,6|2016-06-18T03:35:20Z|Sunny|+24.8|1036.2|55
BNE|-27.48,153.04,8|2016-06-18T09:41:42Z|Sunny|+20.4|1034.9|56
KGI|-30.78,121.45,365|2016-06-18T09:41:42Z|Humid|+17.0|1044.1|66
MEL|-37.83,144.98,7|2016-06-18T09:41:42Z|Sunny|+20.7|1028.8|54
PER|-31.92,115.87,25|2016-06-18T09:41:42Z|Sunny|+21.4|1029.7|52
PHE|-20.37,118.63,6|2016-06-18T09:41:42Z|Sunny|+21.1|1036.4|54
SYD|-33.86,151.21,39|2016-06-18T09:41:42Z|Sunny|+21.1|1029.7|53
